hängen;#;hing, hängte;hat;gehangen, gehängt;visjeti, objesiti
hauen;#;hieb;hat;gehauen;tući
heben;#;hob;hat;gehoben;dizati
heißen;#;hieß;hat;geheißen;zvati se
helfen;hilft;half;hat;geholfen;pomagati
kennen;#;kannte;hat;gekannt;poznavati
klingen;#;klang;hat;geklungen;zvučati
kneifen;#;kniff;hat;gekniffen;štipati
kommen;#;kam;ist;gekommen;doći
können;kann;konnte;hat;gekonnt;moći
kriechen;#;kroch;ist;gekrochen;puzati
laden;lädt, ladet;lud;hat;geladen;tovariti, pozvati
lassen;läßt;ließ;hat;gelassen;pustiti, dati, ostaviti
laufen;läuft;lief;ist;gelaufen;trčati
leiden;#;litt;hat;gelitten;trpjeti
leihen;#;lieh;hat;geliehen;pozajmiti
lesen;liest;las;hat;gelesen;čitati
liegen;#;lag;hat;gelegen;ležati
lügen;#;log;hat;gelogen;lagati
mahlen;#;mahlte;hat;gemahlen;mljeti
meiden;#;mied;hat;gemieden;izbjegavati
melken;#;molk;hat;gemolken;musti
messen;mißt;maß;hat;gemessen;mjeriti
mißlingen;#;mißlang;ist;mißlungen;ne uspjeti
mögen;mag;mochte;hat;gemocht;voljeti, htjeti
müssen;muß;mußte;hat;gemußt;morati
nehmen;nimmt;nahm;hat;genommen;uzeti
nennen;#;nannte;hat;genannt;nazivati
pfeifen;#;pfiff;hat;gepfiffen;zviždati
preisen;#;pries;hat;gepriesen;hvaliti
raten;rät;riet;hat;geraten;savjetovati, pogađati
reiben;#;rieb;hat;gerieben;trljati
reißen;#;riß;hat/ist;gerissen;trgati, poderati se
reiten;#;ritt;ist;geritten;jahati
rennen;#;rannte;ist;gerannt;trčati
riechen;#;roch;hat;gerochen;mirisati
ringen;#;rang;hat;gerungen;rvati se
rinnen;#;rann;ist;geronnen;curiti
rufen;#;rief;hat;gerufen;zvati
salzen;#;salzte;hat;gesalzen;soliti
saufen;säuft;soff;hat;gesoffen;lokati
saugen;#;sog;hat;gesogen;sisati
schaffen;#;schuf, schaffte;hat;geschaffen, geschafft;stvarati, uspjeti
scheiden;#;schied;hat/ist;geschieden;razdvajati
scheinen;#;schien;hat;geschienen;sjati, činiti se
schelten;schilt;schalt;hat;gescholten;grditi
schieben;#;schob;hat;geschoben;gurati
schießen;#;schoß;hat;geschossen;pucati
schlafen;schläft;schlief;hat;geschlafen;spavati
schlagen;shclägt;schlug;hat;geschlagen;tući
schleichen;#;schlich;ist;geschlichen;šuljati se
schleifen;#;schliff, schleifte;hat;geschliffen, geschleift;brusiti, vući po podu
schließen;#;schloß;hat;geschlossen;zatvoriti, zaključati
schmeißen;#;schmiß;hat;geschmissen;baciti
schmelzen;#;schmolz;hat/ist;geschmolzen;topiti, rastopiti se
schneiden;#;schnitt;hat;geschnitten;rezati
(er)schrecken;erschrickt;erschrak, erschreckte;hat/ist;erschrocken;uplašiti, uplašiti se
schreiben;#;schrieb;hat;geschrieben;pisati
schreien;#;schrie;hat;geschrien;vikati
schreiten;#;schritt;ist;geschritten;koračati
schweigen;#;schwieg;hat;geschwiegen;šutjeti
schwellen;schwillt;schwoll;ist;geschwollen;oteći
schwimmen;#;schwamm;ist;geschwommen;plivati
schwinden;#;schwand;ist;geschwunden;nestajati
schwingen;#;schwang;hat;geschwungen;mahati
schwören;#;schwor;hat;geschworen;zakleti se
sehen;sieht;sah;hat;gesehen;vidjeti
sein;ist;war;ist;gewesen;biti
senden;#;sandte;hat;gesandt;poslati
sieden;#;sott, siedete;hat;gesotten, gesiedet;kuhati, ključati
singen;#;sang;hat;gesungen;pjevati
sinken;#;sank;ist;gesunken;tonuti
sinnen;#;sann;hat;gesonnen;razmišljati
sitzen;#;saß;hat;gesessen;sjediti
sollen;soll;sollte;hat;gesollt;trebati, morati
spalten;#;spaltete;hat;gespalten;cijepiti
speien;#;spie;hat;gespien;pljuvati
spinnen;#;spann;hat;gesponnen;presti, govoriti gluposti
sprechen;spricht;sprach;hat;gesprochen;govoriti
sprießen;#;sproß;ist;gesprossen;nicati
springen;#;sprang;ist;gesprungen;skakati
stechen;sticht;stach;hat;gestochen;ubosti
stecken;#;stak, steckte;hat;gesteckt;nalaziti se, staviti, utaknuti
stehen;#;stand;hat;gestanden;stajati
stehlen;stiehlt;stahl;hat;gestohlen;krasti
steigen;#;stieg;ist;gestiegen;penjati se
sterben;stirbt;starb;ist;gestorben;umrijeti
stinken;#;stank;hat;gestunken;smrdjeti
stoßen;stößt;stieß;hat;gestoßen;gurati, udarati
streichen;#;strich;hat/ist;gestrichen;gladiti, ličiti, lutati
streiten;#;stritt;hat;gestritten;svađati se
tragen;trägt;trug;hat;getragen;nositi
treffen;trifft;traf;hat;getroffen;sresti, pogoditi
treiben;#;trieb;hat;getrieben;tjerati
treten;tritt;trat;hat/ist;getreten;gaziti, stupiti
triefen;#;troff;hat;getroffen;kapati
trinken;#;trank;hat;getrunken;piti
trügen;#;trog;hat;getrogen;varati
tun;tut;tat;hat;getan;činiti
verderben;verdirbt;verdarb;hat/ist;verdorben;pokvariti, pokvariti se
vergessen;vergißt;vergaß;hat;vergessen;zaboraviti
verlieren;#;verlor;hat;verloren;izgubiti
verzeihen;#;verzieh;hat;verziehen;oprostiti
wachsen;wächst;wuchs;ist;gewachsen;rasti
waschen;wäscht;wusch;hat;gewaschen;prati
weichen;#;wich;ist;gewichen;uzmaći
weisen;#;wies;hat;gewiesen;pokazivati
wenden;#;wandte, wendete;hat;gewandt, gewendet;okretati
werben;wirbt;warb;hat;geworben;praviti reklamu, snubiti
werden;wirst, wird;wurde;ist;geworden;postati
werfen;wirft;warf;hat;geworfen;bacati
wiegen;#;wog;hat;gewogen;vagati, biti težak
winden;#;wand;hat;gewunden;zaviti
wissen;weiß;wußte;hat;gewußt;znati
wollen;will;wollte;hat;gewollt;htjeti
ziehen;#;zog;hat/ist;gezogen;vući, polaziti, seliti se
zwingen;#;zwang;hat;gezwungen;siliti
